('ANASS', 'bannie2492', {'weight': 1}),
('ANASS', 'onetliviu', {'weight': 1}),
('ANASS', 'zsudraco', {'weight': 1}),
('ASilva', 'AleaActaEst', {'weight': 1}),
('ASilva', 'BeBetter', {'weight': 1}),
('ASilva', 'Indemar', {'weight': 1}),
('ASilva', 'MiG-29', {'weight': 3}),
('ASilva', 'Wendell', {'weight': 1}),
('ASilva', 'amit_pundir', {'weight': 1}),
('ASilva', 'bruce_zhang', {'weight': 1}),
('ASilva', 'caru', {'weight': 1}),
('ASilva', 'chrislee8', {'weight': 1}),
('ASilva', 'chrsie', {'weight': 1}),
('ASilva', 'duner', {'weight': 1}),
('ASilva', 'gevak', {'weight': 2}),
('ASilva', 'ivern_admin', {'weight': 1}),
('ASilva', 'pulky', {'weight': 1}),
